      Year,   Panel 1,   Panel 2,   Panel 3,   Panel 4,   Panel 5
    Year 0,   20.3962,   20.3962,   40.7924,  136.4079,  136.4079
    Year 1,   20.3044,   20.3044,   40.5884,  135.8623,  135.8623
    Year 2,   20.2130,   20.2130,   40.3855,  135.3188,  135.3188
    Year 3,   20.1221,   20.1221,   40.1835,  134.7776,  134.7776
    Year 4,   20.0315,   20.0315,   39.9826,  134.2384,  134.2384
    Year 5,   19.9414,   19.9414,   39.7827,  133.7015,  133.7015
    Year 6,   19.8516,   19.8516,   39.5838,  133.1667,  133.1667
    Year 7,   19.7623,   19.7623,   39.3859,  132.6340,  132.6340
    Year 8,   19.6734,   19.6734,   39.1889,  132.1035,  132.1035
    Year 9,   19.5849,   19.5849,   38.9930,  131.5751,  131.5751
   Year 10,   19.4967,   19.4967,   38.7980,  131.0488,  131.0488
   Year 11,   19.4090,   19.4090,   38.6040,  130.5246,  130.5246
   Year 12,   19.3216,   19.3216,   38.4110,  130.0025,  130.0025
   Year 13,   19.2347,   19.2347,   38.2190,  129.4825,  129.4825
   Year 14,   19.1481,   19.1481,   38.0279,  128.9645,  128.9645
   Year 15,   19.0620,   19.0620,   37.8377,  128.4487,  128.4487
   Year 16,   18.9762,   18.9762,   37.6485,  127.9349,  127.9349
   Year 17,   18.8908,   18.8908,   37.4603,  127.4231,  127.4231
   Year 18,   18.8058,   18.8058,   37.2730,  126.9134,  126.9134
   Year 19,   18.7212,   18.7212,   37.0866,  126.4058,  126.4058
   Year 20,   18.6369,   18.6369,   36.9012,  125.9002,  125.9002
   Year 21,   18.5531,   18.5531,   36.7167,  125.3966,  125.3966
   Year 22,   18.4696,   18.4696,   36.5331,  124.8950,  124.8950
   Year 23,   18.3865,   18.3865,   36.3504,  124.3954,  124.3954
   Year 24,   18.3037,   18.3037,   36.1687,  123.8978,  123.8978
   Year 25,   18.2213,   18.2213,   35.9878,  123.4022,  123.4022
